Insee,Nom,Altitude,code_postal,longitude_radian,latitude_radian,pop99,surface
2183,Chevregny,100,2000,0.062671858,0.863458012,196,8.59
2184,Chevresis-Monceau,70,2270,0.062337348,0.868393448,368,17.28
2185,Chézy-en-Orxois,133,2810,0.055549953,0.857344526,346,16.44
2186,Chézy-sur-Marne,63,2570,0.058769112,0.855007735,1323,22.7
2187,Chierry,81,2400,0.059922964,0.855880386,1034,2.86
2188,Chigny,160,2120,0.065818304,0.871219861,161,10.67
2189,Chivres-en-Laonnois,75,2350,0.067064276,0.866279631,339,13.74
2190,Chivres-Val,80,2880,0.059956911,0.862119906,575,5.68
2191,Chivy-lès-Étouvelles,65,2000,0.062565202,0.864427668,542,3.47
2192,Chouy,150,2210,0.05670381,0.858803805,318,20.37
2193,Cierges,155,2130,0.062826999,0.858134752,62,8.17
2194,Cilly,90,2250,0.066880039,0.868102498,246,9.41
2195,Ciry-Salsogne,70,2220,0.060451414,0.861547859,649,8.95
2196,Clacy-et-Thierret,65,2000,0.062337348,0.864781536,304,4.25
2197,Clairfontaine,225,2260,0.069619246,0.872349507,497,14.43
2198,Clamecy,140,2880,0.058691547,0.86269202,272,3.4
2199,Clastres,75,2440,0.056427473,0.868238253,509,8.32
2200,Clermont-les-Fermes,140,2340,0.068722339,0.866880773,131,9.3
2201,Cœuvres-et-Valsery,65,2600,0.055069989,0.861135735,432,12.34
2203,Coincy,110,2210,0.059748431,0.858023232,1156,17.26
2204,Coingt,200,2360,0.071427603,0.869077015,73,7.44
2205,Colligis-Crandelain,100,2860,0.063559077,0.863501621,145,6.77
2206,Colonfay,150,2120,0.064780811,0.87018236,95,3.37
2207,Commenchon,95,2300,0.055225131,0.866405665,155,3.36
2208,Concevreux,55,2160,0.066143126,0.861785413,201,13.36
2209,Condé-en-Brie,91,2330,0.062191894,0.855279178,626,4.44
2210,Condé-sur-Aisne,70,2370,0.060538682,0.862163582,358,3.84
2211,Condé-sur-Suippe,55,2190,0.068925967,0.862556265,260,5.89
2212,Condren,49,2700,0.057271042,0.86621658,686,5.64
2213,Connigis,90,2330,0.061644052,0.855754352,266,5.5
2214,Contescourt,96,2680,0.056417769,0.869057574,74,3.49
2215,Corbeny,90,2820,0.06672975,0.863283508,633,15.34
2216,Corcy,80,2600,0.056054165,0.859618266,306,7.38
2217,Coucy-le-Château-Auffrique,122,2380,0.057993416,0.864277333,995,11.38
2218,Coucy-lès-Eppes,100,2840,0.065808616,0.864863961,612,6.08
2219,Coucy-la-Ville,78,2380,0.058090368,0.864514887,176,6.15
2220,Coulonges-Cohan,140,2130,0.063452422,0.85872138,370,28.72
2221,Coupru,163,2310,0.057111048,0.855754352,144,7.84
2222,Courbes,70,2800,0.060238103,0.867186237,31,3.22
2223,Courboin,199,2330,0.061193179,0.855119188,269,14.04
2224,Courcelles-sur-Vesles,70,2220,0.062337348,0.861121221,295,9.06
2225,Courchamps,154,2810,0.05698015,0.857160301,98,2.76
2226,Courmelles,60,2200,0.057818883,0.861242395,1659,6.76
2227,Courmont,170,2130,0.062429452,0.857809913,113,10.12
2228,Courtemont-Varennes,93,2850,0.062022213,0.856462154,295,6.03
2229,Courtrizy-et-Fussigny,120,2820,0.06615283,0.864291914,66,4.28
2230,Couvrelles,80,2220,0.060878061,0.861130941,190,7.61
2231,Couvron-et-Aumencourt,86,2270,0.061396807,0.8664299,1015,13.66
2232,Coyolles,110,2600,0.053130738,0.859298287,359,24.97
2233,Cramaille,150,2130,0.060252642,0.859211069,102,8.2
2234,Craonne,90,2160,0.066099492,0.862876244,67,8.75
2235,Craonnelle,100,2160,0.065779521,0.862740489,111,6.01
2236,Crécy-au-Mont,110,2380,0.0579013,0.863690705,290,11.85
2237,Crécy-sur-Serre,64,2270,0.063248794,0.867370461,1550,18.26
2238,Crépy,87,2870,0.061314395,0.865765707,1710,27.79
2239,Crézancy,80,2650,0.061280448,0.856030655,1069,7.09
2240,Croix-Fonsommes,100,2110,0.059409069,0.871297426,220,9.57
2241,La Croix-sur-Ourcq,120,2210,0.058546093,0.858139612,91,10.58
2242,Crouttes-sur-Marne,80,2310,0.056568059,0.85487198,628,4.37
2243,Crouy,51,2880,0.058681843,0.862246007,2619,10.43
2244,Crupilly,154,2120,0.065532263,0.87137499,64,3.52
2245,Cuffies,80,2880,0.057949782,0.862313851,1496,5.02
2246,Cugny,72,2480,0.055050598,0.867559546,503,9.41
2248,Cuirieux,83,2350,0.066598851,0.867108673,143,6.63
2249,Cuiry-Housse,100,2220,0.060950773,0.860360023,110,8.59
2250,Cuiry-lès-Chaudardes,50,2160,0.065813452,0.861959917,42,5.17
2251,Cuiry-lès-Iviers,180,2360,0.071747574,0.868519482,40,4.88
2252,Cuissy-et-Geny,160,2160,0.064596574,0.862372041,59,4.99
2253,Cuisy-en-Almont,130,2200,0.056640784,0.862502935,352,9.09
2254,Cutry,131,2600,0.05559844,0.861261836,98,4.76
2255,Cys-la-Commune,52,2220,0.062317957,0.862056922,127,4.11
2256,Dagny-Lambercy,170,2140,0.070559787,0.868684265,159,10.07
2257,Dallon,75,2680,0.056577763,0.869547263,403,5.78
2258,Dammard,140,2470,0.055806903,0.857717834,418,8.1
2259,Dampleux,150,2600,0.055074841,0.859453483,380,8.18
2260,Danizy,74,2800,0.059210294,0.866817789,560,4.55
2261,Dercy,70,2270,0.064334773,0.867515937,399,11.56
2262,Deuillet,52,2700,0.058652765,0.866197206,165,3.79
2263,Dhuizel,100,2220,0.063156678,0.861591469,102,6.89
2264,Dizy-le-Gros,125,2340,0.070191331,0.86621658,755,20.82
2265,Dohis,205,2360,0.072174221,0.868538857,111,8.17
2266,Dolignon,160,2360,0.071267606,0.867995838,45,2.99
2267,Dommiers,130,2600,0.05601053,0.860936997,279,7.23
2268,Domptin,120,2310,0.057193461,0.855487703,530,4.53
2269,Dorengt,140,2450,0.064305678,0.872257362,142,10.55
2270,Douchy,90,2590,0.054730611,0.86910125,150,5.11
2271,Dravegny,150,2130,0.0634815,0.859225583,149,15.98
2272,Droizy,130,2210,0.059215145,0.860059485,79,5.38
2273,Dury,75,2480,0.054662734,0.868330398,177,7.77
2274,Ébouleau,110,2350,0.067626657,0.866968058,203,13.01
2275,Effry,150,2500,0.069531982,0.871336241,403,2.74
2276,Englancourt,160,2260,0.066332215,0.871205347,125,8.09
2277,Épagny,75,2290,0.05658745,0.863254413,333,10.89
2278,Éparcy,160,2500,0.070845827,0.870487825,49,7.53
2279,Épaux-Bézu,120,2400,0.05847338,0.857077877,534,19.9
2280,Épieds,170,2400,0.06012174,0.857024547,332,19.11
2281,L'Épine-aux-Bois,160,2540,0.060170226,0.853218756,231,12.34
2282,Eppes,80,2840,0.065236532,0.864941525,349,7.66
2283,Erlon,80,2250,0.064824445,0.867937715,300,8.76
2284,Erloy,138,2260,0.066817014,0.871166531,123,7.5
2286,Esquéhéries,173,2170,0.065377118,0.872393117,866,16.38
2287,Essigny-le-Grand,105,2690,0.057227408,0.868776411,1196,13.28
2288,Essigny-le-Petit,85,2100,0.058778816,0.870919323,377,4.61
2289,Essises,140,2570,0.059695114,0.854556862,370,7.54
2290,Essômes-sur-Marne,70,2400,0.058904862,0.855710676,2486,28.72
2291,Estrées,125,2420,0.057387401,0.872111953,446,7.06
2292,Étampes-sur-Marne,93,2400,0.05968541,0.855807682,1313,2.24
2293,Étaves-et-Bocquiaux,146,2110,0.060339907,0.871627125,615,13.77
2294,Étouvelles,62,2000,0.06252642,0.864320942,199,2.39
2295,Étréaupont,126,2580,0.0683151,0.870972653,933,17.6
2296,Étreillers,90,2590,0.055157258,0.869687878,1105,8.68
2297,Étrépilly,170,2400,0.0582649,0.856689987,85,5.28
2298,Étreux,80,2510,0.06378208,0.872548246,1670,10.33
2299,Évergnicourt,740,2190,0.07052584,0.862948948,549,9.28
2301,Faucoucourt,90,2320,0.060485361,0.864510093,280,7.38
2302,Faverolles,150,2600,0.055438446,0.859114063,319,13.75
2303,Fayet,110,2100,0.056776539,0.870386025,580,5.93
2304,La Fère,50,2800,0.058754573,0.866783834,2817,6.85
2305,Fère-en-Tardenois,120,2130,0.061353177,0.858692285,3356,20.97
2306,La Ferté-Chevresis,72,2270,0.062143424,0.868068609,567,24.2
2307,La Ferté-Milon,70,2460,0.054628808,0.858260786,2109,18.93
2308,Fesmy-le-Sart,150,2450,0.064189335,0.873382148,463,16.06
2309,Festieux,110,2840,0.065537115,0.864340383,509,6.73
2310,Fieulaine,139,2110,0.060209008,0.870914463,253,7.78
2311,Filain,95,2000,0.062070699,0.863215597,89,4.84
2312,La Flamengrie,200,2260,0.068416908,0.872742191,1099,26.61
2313,Flavigny-le-Grand-et-Beaurain,108,2120,0.063927534,0.870720518,464,13.79
2315,Flavy-le-Martel,70,2520,0.055748729,0.867700161,1520,12.96
2316,Fleury,120,2600,0.055142702,0.859758881,148,6.59
2317,Fluquières,95,2590,0.055055434,0.869237005,197,5.25
2318,Folembray,88,2670,0.057469818,0.864694251,1490,8.96
2319,Fonsommes,95,2110,0.059341196,0.870967793,554,9.7
2320,Fontaine-lès-Clercs,84,2680,0.05626748,0.869290334,274,5.32
2321,Fontaine-lès-Vervins,193,2140,0.068043599,0.870100002,811,19.91
2322,Fontaine-Notre-Dame,131,2110,0.059855091,0.870638094,382,12.04
2323,Fontaine-Uterte,145,2110,0.058841837,0.871307146,119,5.8
2324,Fontenelle,200,2170,0.067476367,0.873217299,272,10.4
2325,Fontenelle-en-Brie,216,2540,0.060737458,0.853829619,171,8.36
2326,Fontenoy,55,2290,0.055831146,0.862323571,532,9.05
2327,Foreste,75,2590,0.054110057,0.869338804,143,4.94
2328,Fossoy,100,2650,0.060781093,0.856050096,620,7.57
2329,Fourdrain,85,2870,0.060601708,0.865867573,433,9.56
